SKU,Brand,Product Name,Category,ADL Price,MEL Price,Price Difference,ADL packaging,MEL packaging,ADL Specials,MEL Specials,Specials Comp,ADL Suppliers,MEL Suppliers
3468031P,Coles,Natures Kitchen Lentil Spag Bolognese,"Dairy, Eggs & Meals",7.0,7.0,0.0,350g,350g,$pecials,$pecials,True,"['958543 JEWEL OF INDIA ENTERPRISES P/L (', '979047 CHEF FRESH PTY LTD (JFF) (CB)']","['958543 JEWEL OF INDIA ENTERPRISES P/L (', '979047 CHEF FRESH PTY LTD (JFF) (CB)']"
2649234P,Guylian,Assortment Belgian Chocolates,Pantry,18.0,18.0,0.0,305g,305g,,,True,['945407 STUART ALEXANDER (CONFECTIONERY)'],['945407 STUART ALEXANDER (CONFECTIONERY)']
8416240P,Heinz,Big Red Tomato Soup Can,Pantry,3.65,3.65,0.0,820g,820g,,,True,['22161 HJ HEINZ CO AUST LTD'],['22161 HJ HEINZ CO AUST LTD']
2592829P,Jack Daniels,Double Jack & Cola Can 375mL,Liquor,62.0,59.0,3.0,10 pack,10 pack,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
324217P,Coles,Smart Buy Hair Spray,Health & Beauty,2.2,2.2,0.0,250g,250g,,,True,"['655091 AARON LABO', '632775 MULTI-FILL P/L HOUSEBRAND']","['655091 AARON LABO', '632775 MULTI-FILL P/L HOUSEBRAND']"
5143435P,Nivea,Moisturising Day Face Cream Fluid Spf15,Health & Beauty,5.35,5.35,0.0,50mL,50mL,$pecials,$pecials,True,['936507 BEIERSDORF AUST LTD'],['936507 BEIERSDORF AUST LTD']
3716508P,Peters,Connoisseur Strawberry Ice Cream,Frozen,11.0,11.0,0.0,1L,1L,,,True,['968585 PETERS ICE CREAM'],['968585 PETERS ICE CREAM']
5430233P,Earth Choice,Pure Soft Fabric Softener,Household,2.0,2.0,0.0,1L,1L,,,True,['653217 NATURES ORGANICS P/L'],['653217 NATURES ORGANICS P/L']
3116216P,Cook & Dine,Corkscrew,Household,3.0,3.0,0.0,1 each,1 each,,,True,"['945707 GLOBALEYES DISTRIBUTION P/L (XDO', '970149 Globaleyes Distribution (COLESBR', '975760 GLOBALEYES DISTRIBUTION PTY LTD']","['945707 GLOBALEYES DISTRIBUTION P/L (XDO', '970149 Globaleyes Distribution (COLESBR', '975760 GLOBALEYES DISTRIBUTION PTY LTD']"
3671057P,Grillman,BBQ Aluminium Large Roasting Trays,Household,4.8,4.8,0.0,2 pack,2 pack,$pecials,$pecials,True,['972884 MAYO HARDWARE PTY LTD'],['972884 MAYO HARDWARE PTY LTD']
3815930P,Tuckers,Natural Artisan Crackers Seeded,Pantry,3.2,3.2,0.0,100g,100g,$pecials,$pecials,True,['933199 FOOD SERV SOLUTIONS P/L'],['933199 FOOD SERV SOLUTIONS P/L']
2350546P,Cadbury,Old Gold Peppermint Dark Chocolate Block,Pantry,5.0,5.0,0.0,180g,180g,,,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
2511226P,Always Fresh,Flat Anchovies In Olive Oil,Pantry,4.5,4.5,0.0,100g,100g,$pecials,$pecials,True,['633534 RIVIANA FOODS P/L'],['633534 RIVIANA FOODS P/L']
93726P,Massel,Beef Style Stock Cubes,Pantry,2.5,2.5,0.0,105g,105g,$pecials,$pecials,True,['426105 MASSEL AUST P/L'],['426105 MASSEL AUST P/L']
3234154P,Laucke,CWA Scone Mix,Pantry,5.15,5.15,0.0,1kg,1kg,$pecials,$pecials,True,['928995 LAUCKE FLOUR MILLS'],['928995 LAUCKE FLOUR MILLS']
3530292P,Prima,Tropical Fruit Drink Multipack 200mL,Back to School,2.5,2.5,0.0,6 pack,6 pack,,,True,"['656186 COLES SUPERMARKETS (EXP)', '4111 LD & D AUST P/L']","['656186 COLES SUPERMARKETS (EXP)', '4111 LD & D AUST P/L']"
8211473P,Coles,Sunflower Oil,Pantry,9.75,9.75,0.0,4L,4L,,,True,"['972597 100% BOTTLING COMPANY P/L (CB)', '145823 OVERSEAS SUPPLIER', '962144 WILMAR TRADING (CHINA) PTE LTD', '974355 WILMAR TRADING (ASIA) PTE LTD']","['972597 100% BOTTLING COMPANY P/L (CB)', '145823 OVERSEAS SUPPLIER', '962144 WILMAR TRADING (CHINA) PTE LTD', '974355 WILMAR TRADING (ASIA) PTE LTD']"
3231098P,Coles,5 Brown Rice Pouches,Pantry,4.0,4.0,0.0,625g,625g,,,True,"['AIR GUITAR AUSTRALIA', '964590 AUSTRALIA INTERNATIONAL P/L (HOU', '951699 AIR GUITAR AUSTRALIA']","['AIR GUITAR AUSTRALIA', '964590 AUSTRALIA INTERNATIONAL P/L (HOU', '951699 AIR GUITAR AUSTRALIA']"
6446261P,Radox,Oxygen Body Wash,Health & Beauty,2.0,2.0,0.0,50mL,50mL,,,True,"['633399 SARALEE HOUSEHOLD & BODYCARE (AU', '26867 UNILEVER A/ASIA HOME &PERSONAL C']","['633399 SARALEE HOUSEHOLD & BODYCARE (AU', '26867 UNILEVER A/ASIA HOME &PERSONAL C']"
5252500P,Chaokoh,Young Sweet Corn,International Foods,2.0,2.0,0.0,425g,425g,,,True,['641316 ORIENTAL MERCHANT P/L'],['641316 ORIENTAL MERCHANT P/L']
1974116P,Pine O Cleen,Multi Purpose Trigger Spray Crisp Apple,Household,3.5,3.5,0.0,750mL,750mL,$pecials,$pecials,True,"['672882 RECKITT BENCKISER (AUST) P/L', '975782 RB (HYGIENE HOME) AUSTRALIA PTY']","['672882 RECKITT BENCKISER (AUST) P/L', '975782 RB (HYGIENE HOME) AUSTRALIA PTY']"
3558371P,The Wholesome Food Company,Organic Blue Corn & Quinoa Chips,Pantry,2.5,2.5,0.0,150g,150g,$pecials,$pecials,True,"['971606 YARRA VALLEY SNACKFOODS PTY LTD', '636541 SNACK BRANDS AUSTRALIA']","['971606 YARRA VALLEY SNACKFOODS PTY LTD', '636541 SNACK BRANDS AUSTRALIA']"
3757549P,Mainland,On The Go Lunch Pack Cheese & Balsamic Beetroot,Back to School,4.0,4.0,0.0,110g,110g,$pecials,$pecials,True,['322385 FONTERRA BRANDS (AUST) P/L'],['322385 FONTERRA BRANDS (AUST) P/L']
126100P,Campbell's,Beef Spaghetti Bolognese Original Recipe Pasta Sauce,Pantry,2.8,2.8,0.0,410g,410g,,,True,['9270 CAMPBELL A'],['9270 CAMPBELL A']
3022484P,Duracell,3V Lithium Batteries 2032,Household,12.0,12.0,0.0,4 pack,4 pack,,,True,"['971976 STUART ALEXANDER & CO PTY LTD', '975409 PENTAL PRODUCTS PTY LTD']","['971976 STUART ALEXANDER & CO PTY LTD', '975409 PENTAL PRODUCTS PTY LTD']"
1389364P,Aeroplane,Ready To Eat Raspberry Jelly,"Dairy, Eggs & Meals",1.0,1.0,0.0,120g,120g,$pecials,$pecials,True,"['950585 MCCORMICK FOODS AUST P/L(DAIRY A', '32590 MCCORMICK FOODS AUST P/L']","['950585 MCCORMICK FOODS AUST P/L(DAIRY A', '32590 MCCORMICK FOODS AUST P/L']"
5080812P,Coon,Light 'N Tasty Cheese Block,"Dairy, Eggs & Meals",5.7,5.7,0.0,500g,500g,$pecials,$pecials,True,"['971478 WARRNAMBOOL CHEESE & BUTTER', '609625 DAIRY FARMERS', '265454 LD & D AUST P/L']","['971478 WARRNAMBOOL CHEESE & BUTTER', '609625 DAIRY FARMERS', '265454 LD & D AUST P/L']"
3492932P,Coles,Organic Unsweetened Oat Milk,"Dairy, Eggs & Meals",2.5,2.5,0.0,1L,1L,,,True,['940442 PUREHARVEST (PRIVATE LABEL)'],['940442 PUREHARVEST (PRIVATE LABEL)']
3862930P,Dole,Fruit In Juice,Pantry,2.2,2.2,0.0,432g,432g,,,True,['963410 PAVE BRANDS'],['963410 PAVE BRANDS']
3623484P,Baci,Hazelnut Dark Chocolate Bag,Pantry,7.0,7.0,0.0,125g,125g,,,True,['283215 F MAYER IMPORTS P/L'],['283215 F MAYER IMPORTS P/L']
3613130P,Cadbury,Caramilk Chocolate Family Block,Pantry,3.5,3.5,0.0,180g,180g,$pecials,$pecials,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
3797995P,Fodmapped,Gluten Free Pumpkin Spinach Fetta Risotto,Pantry,6.5,6.5,0.0,500 GRAM,500 GRAM,,,True,['FODMAPPED FOODS PTY LTD'],['FODMAPPED FOODS PTY LTD']
2351684P,Cadbury,Dream White Chocolate Block,Pantry,3.5,3.5,0.0,180g,180g,$pecials,$pecials,True,['618748 CADBURY P/L'],['618748 CADBURY P/L']
171477P,Sunbeam,Mixed Dried Fruit,Pantry,7.65,7.65,0.0,1kg,1kg,$pecials,$pecials,True,['56308 SUNBEAM FO'],['56308 SUNBEAM FO']
3449875P,Life-Space,Baby Probiotic Powder 6 Months -3 Years,Health & Beauty,27.0,27.0,0.0,40g,40g,,,True,['969851 EVOLUTION HEALTH PTY. LTD.'],['969851 EVOLUTION HEALTH PTY. LTD.']
3783822P,Yo Pro,Frozen Dessert Chocolate Mint 4 pack,Frozen,9.0,9.0,0.0,540mL,540mL,$pecials,$pecials,True,['964090 DANONE MURRAY GOULBURN AUST P/L'],['964090 DANONE MURRAY GOULBURN AUST P/L']
7547898P,Sunsilk,Addictive Brilliant Shine Shampoo,Health & Beauty,5.5,5.5,0.0,350mL,350mL,,,True,['26867 UNILEVER A/ASIA HOME &PERSONAL C'],['26867 UNILEVER A/ASIA HOME &PERSONAL C']
5722374P,Coles,Trolley Bin Liners Bag 140cm X 113cm,Household,0.95,0.95,0.0,4 pack,4 pack,,,True,"[""8125 MCPHERSON'S CONSUMER PRODUCTS P/"", ""932925 MCPHERSON'S CONSUMER PROD P/L (P"", '941100 INTERNATIONAL GROCERY MANUFACTUR', '971313 INTERNATIONAL CONSOLIDATED BUSIN', ""953204 MCPHERSON'S CONSUMER PRODUCTS (O"", '145823 OVERSEAS SUPPLIER']","[""8125 MCPHERSON'S CONSUMER PRODUCTS P/"", ""932925 MCPHERSON'S CONSUMER PROD P/L (P"", '941100 INTERNATIONAL GROCERY MANUFACTUR', '971313 INTERNATIONAL CONSOLIDATED BUSIN', ""953204 MCPHERSON'S CONSUMER PRODUCTS (O"", '145823 OVERSEAS SUPPLIER']"
2680755P,Coles,Kitchen Bolognese Bake,"Dairy, Eggs & Meals",7.5,7.5,0.0,350g,350g,,,True,"['979047 CHEF FRESH PTY LTD (JFF) (CB)', '958543 JEWEL OF INDIA ENTERPRISES P/L (', '964032 SIMPLOT AUSTRALIA (HOUSEBRAND)']","['979047 CHEF FRESH PTY LTD (JFF) (CB)', '958543 JEWEL OF INDIA ENTERPRISES P/L (', '964032 SIMPLOT AUSTRALIA (HOUSEBRAND)']"
399045P,Hoyts,Pine Nuts,Pantry,3.2,3.2,0.0,25g,25g,,,True,"['99066 L MONFORTE & CO', '21300 HOYT FOOD MANUF IND P/L']","['99066 L MONFORTE & CO', '21300 HOYT FOOD MANUF IND P/L']"
3739048P,Amoy,Light Soy Sauce,International Foods,3.85,3.85,0.0,500mL,500mL,,,True,['974793 ETTASON PTY LTD'],['974793 ETTASON PTY LTD']
3062922P,Coles,Replacement Brush Heads Sensitive,Health & Beauty,10.0,10.0,0.0,2 pack,2 pack,,,True,"['975428 RANIR LTD', '972126 SOLENT MANUFACTURING LIMITED']","['975428 RANIR LTD', '972126 SOLENT MANUFACTURING LIMITED']"
3279538P,Nature's Way,Super Foods Apple Cider Vinegar,Health & Beauty,11.2,11.2,0.0,60 pack,60 pack,$pecials,$pecials,True,['479551 PHARM-A-CARE LABORATORIES P/L'],['479551 PHARM-A-CARE LABORATORIES P/L']
3842692P,Patties,Mini Quiche Cheese & Onion,Frozen,6.0,6.0,0.0,420g,420g,$pecials,$pecials,True,['606235 PATTIES FOODS LTD'],['606235 PATTIES FOODS LTD']
4854370P,Sunrice,Brown Medium Grain Rice,Pantry,2.0,2.0,0.0,250g,250g,,,True,['42030 SUNRICE'],['42030 SUNRICE']
2941156P,Flora,Pro Activ Margarine Spread Buttery,"Dairy, Eggs & Meals",4.5,4.5,0.0,250g,250g,,,True,"['976653 UPFIELD AUSTRALIA (SALES) PTY LT', '645273 UNILEVER A/ASIA FOODS']","['976653 UPFIELD AUSTRALIA (SALES) PTY LT', '645273 UNILEVER A/ASIA FOODS']"
6893736P,Streets,Magnum Classic Ice Cream Sticks 4 pack,Summer Entertaining,9.0,9.0,0.0,428mL,428mL,,,True,['40622 STREETS ICE CREAM'],['40622 STREETS ICE CREAM']
2375274P,TOM Organic,Ultra Thin Liners,Health & Beauty,5.45,5.45,0.0,26 pack,26 pack,,,True,['967792 TOM ORGANIC'],['967792 TOM ORGANIC']
6020850P,Portone,Pinot Grigio 750mL,Liquor,12.0,12.0,0.0,1 Each,1 Each,,,True,"['963979 MAX LIQUOR SUPPLIES', '12947 G.H.P.L.']","['963979 MAX LIQUOR SUPPLIES', '12947 G.H.P.L.']"
2858766P,Hercules,Click Zip Sandwich Bags,Back to School,2.62,2.62,0.0,100 pack,100 pack,$pecials,$pecials,True,"['972542 ICBG PTY LTD', '741973 INTERNATIONAL CONSOLIDATED BUSIN']","['972542 ICBG PTY LTD', '741973 INTERNATIONAL CONSOLIDATED BUSIN']"
9189347P,Earth Choice,Window Cleaner Trigger Pack,Household,3.15,3.15,0.0,600mL,600mL,,,True,['653217 NATURES ORGANICS P/L'],['653217 NATURES ORGANICS P/L']
4575514P,Coles,Mint Sleeved,Fruit & Vegetables,3.0,3.0,0.0,1 bunch,1 bunch,,,True,"['97446 CARTER & S', ""635235 COSTA'S P/L (VIC DC)"", '939301 FRESH PROD', '414760 ST GEORGE', '942633 CARTER & S', '933347 COSTAS (TA', '939312 FRESH PROD']","['97446 CARTER & S', ""635235 COSTA'S P/L (VIC DC)"", '939301 FRESH PROD', '414760 ST GEORGE', '942633 CARTER & S', '933347 COSTAS (TA', '939312 FRESH PROD']"
246102P,Oxo,Chicken Stock Cubes,Pantry,2.0,2.0,0.0,71g,71g,$pecials,$pecials,True,"['943295 OXO FOODS P/L', '32077 MANASSEN F']","['943295 OXO FOODS P/L', '32077 MANASSEN F']"
8729551P,Twinings,"Caffeine Free Camomile, Honey & Vanilla Flavoured Herbal Infusions Tea Bags 10 Serve",Pantry,2.9,2.9,0.0,15g,15g,,,True,['941157 TWININGS & CO'],['941157 TWININGS & CO']
2862515P,Clearblue,Ovulation Advanced Test,Health & Beauty,35.0,35.0,0.0,10 pack,10 pack,,,True,['422720 PROCTER & GAMBLE AUST P/L'],['422720 PROCTER & GAMBLE AUST P/L']
3516145P,Wildly Good,Sweet Potato & Kimchi Burgers 2 pack,"Dairy, Eggs & Meals",5.0,5.0,0.0,250g,250g,$pecials,$pecials,True,"['953944 SOULFRESH', '971667 SOULFRESH GROUP PTY LTD']","['953944 SOULFRESH', '971667 SOULFRESH GROUP PTY LTD']"
7767770P,Nestle,Milkybar White Chocolate Block,Pantry,5.0,5.0,0.0,180g,180g,,,True,"['742104 COSMEX INTL P/L', '620521 NESTLE CONFECTIONERY LTD']","['742104 COSMEX INTL P/L', '620521 NESTLE CONFECTIONERY LTD']"
2044346P,Mirabella,LED Globe GLS Bayonet Cap 9 watt Cool White,Household,8.0,8.0,0.0,1 each,1 each,,,True,['31585 MIRABELLA INTL P/L (LOCAL)'],['31585 MIRABELLA INTL P/L (LOCAL)']
9207427P,V.I.P.,Chicken Dog Chunkers,Pet,4.25,4.25,0.0,1kg,1kg,$pecials,$pecials,True,['721182 VIP PETFOODS (AUST) P/L (CHILLED'],['721182 VIP PETFOODS (AUST) P/L (CHILLED']
3245354P,Coles,Staples,Back to School,1.4,1.4,0.0,2 pack,2 pack,$pecials,$pecials,True,"['974881 BEIFA GROUP CO LTD', '975760 GLOBALEYES DISTRIBUTION PTY LTD']","['974881 BEIFA GROUP CO LTD', '975760 GLOBALEYES DISTRIBUTION PTY LTD']"
5060666P,Twinings,Chai & Vanilla Tea Bags 10 pack,Pantry,2.9,2.9,0.0,20g,20g,,,True,['941157 AB FOOD &'],['941157 AB FOOD &']
3773159P,Mars,Chocolate Snickers Crispers,Pantry,1.0,1.0,0.0,40g,40g,$pecials,$pecials,True,['30724 MARS CHOCOLATE'],['30724 MARS CHOCOLATE']
2732065P,Coles,Cotton Fresh Fabric Conditioner,Household,3.25,3.25,0.0,2L,2L,,,True,['953313 PENTAL PRODUCTS P/L (HOUSEBRAND)'],['953313 PENTAL PRODUCTS P/L (HOUSEBRAND)']
3303086P,Garnier,Fructis Normal Conditioner,Health & Beauty,3.5,3.5,0.0,315mL,315mL,$pecials,$pecials,True,"[""720488 L'OREAL AUST P/L""]","[""720488 L'OREAL AUST P/L""]"
3209827P,John West,Tempters Enchilada Tuna,Pantry,1.15,1.15,0.0,90g,90g,$pecials,$pecials,True,['14729 SIMPLOT AUST P/L'],['14729 SIMPLOT AUST P/L']
1987129P,Planet Food,Organic Coconut Flour,Pantry,5.6,5.6,0.0,400g,400g,$pecials,$pecials,True,"['968531 HEALTHY WARRIOR', '976539 HEALTHY GENERATION PTY LTD']","['968531 HEALTHY WARRIOR', '976539 HEALTHY GENERATION PTY LTD']"
1200118P,Liddells,Strawberry Yoghurt 140 grams,Back to School,5.35,5.35,0.0,4 Pack,4 Pack,,,True,"['317349 MURRAY GOULBURN CO-OP CO LTD', '964090 DANONE MURRAY GOULBURN AUST P/L', '974916 SAPUTO DAIRY AUSTRALIA (SDA2)']","['317349 MURRAY GOULBURN CO-OP CO LTD', '964090 DANONE MURRAY GOULBURN AUST P/L', '974916 SAPUTO DAIRY AUSTRALIA (SDA2)']"
7506981P,Conquistador,Tequila 700mL,Liquor,42.0,42.0,0.0,1 Each,1 Each,,,True,"['963979 MAX LIQUOR SUPPLIES', '12947 G.H.P.L.']","['963979 MAX LIQUOR SUPPLIES', '12947 G.H.P.L.']"
8772700P,Daily Juice,Pulp Free Orange Juice Chilled,Drinks,7.5,7.5,0.0,3L,3L,,,True,['4111 LD & D AUST P/L'],['4111 LD & D AUST P/L']
9505163P,Dilmah,Pure Ceylon Extra Strength Tea Bags 100 pack,Pantry,3.5,3.5,0.0,240g,240g,$pecials,$pecials,True,"['952451 DILMAH TEA', '730475 VALCORP FINE FOODS P/L', '939395 VALCORP FINE FOODS P/L-DILMAH TE']","['952451 DILMAH TEA', '730475 VALCORP FINE FOODS P/L', '939395 VALCORP FINE FOODS P/L-DILMAH TE']"
4575140P,Vegie Delights,Frozen Tender Crumbed Schnitzel 4 pack,Frozen,6.0,6.0,0.0,300g,300g,$pecials,$pecials,True,"['971159 LIFE HEALTH FOODS', '129712 SANITARIUM HEALTH & WELLBEING CO']","['971159 LIFE HEALTH FOODS', '129712 SANITARIUM HEALTH & WELLBEING CO']"
8370400P,Cobram Estate,Extra Virgin Olive Oil Robust,Pantry,15.0,15.0,0.0,750mL,750mL,,,True,['963407 COBRAM ESTATE'],['963407 COBRAM ESTATE']
2360991P,Passage Foods,Passage To India Butter Chicken Simmer Sauce Pouch Extra Mild,Pantry,4.7,4.7,0.0,375g,375g,,,True,['943163 PASSAGE FOODS P/L'],['943163 PASSAGE FOODS P/L']
9374531P,Raid,Flying Insect Killer Odourless Protector Spray,Summer Entertaining,5.0,5.0,0.0,350g,350g,,,True,['131601 SC JOHNSON & SON P/L'],['131601 SC JOHNSON & SON P/L']
9051973P,Golden Circle,Breakfast Juice,Drinks,3.0,3.0,0.0,2L,2L,$pecials,$pecials,True,['109738 HEINZ'],['109738 HEINZ']
7910660P,Coles,Fat Free Instant Skim Milk Powder,"Dairy, Eggs & Meals",5.7,5.7,0.0,1kg,1kg,,,True,"['975331 BEGA CHEESE LTD', '974876 SAPUTO DAIRY AUSTRALIA (SDA)', '953572 MURRAY GOULBURN CO-OPERATIVE CO', '975328 BEGA CHEESE LTD']","['975331 BEGA CHEESE LTD', '974876 SAPUTO DAIRY AUSTRALIA (SDA)', '953572 MURRAY GOULBURN CO-OPERATIVE CO', '975328 BEGA CHEESE LTD']"
1898801P,Decor,Match Ups Basics Container Oblong Green 800ml,Back to School,5.5,5.5,0.0,1 each,1 each,,,True,['300063 THE DECOR CORP P/L (LOCAL)'],['300063 THE DECOR CORP P/L (LOCAL)']
4854380P,Sunrice,Jasmine Microwavable Rice,Pantry,2.0,2.0,0.0,250g,250g,,,True,['42030 SUNRICE'],['42030 SUNRICE']
8145856P,Primo,English Sliced Ham,Back to School,3.25,3.25,0.0,100g,100g,,,True,['328677 PRIMO FOODS PTY LTD'],['328677 PRIMO FOODS PTY LTD']
9604631P,Coles,Dish Brush,Household,1.35,1.35,0.0,1 pack,1 pack,,,True,"['972551 JIAXING JALY COMMODITIES CO LTD(', '656780 EDGAR EDMONDSON (HOUSEBRAND)']","['972551 JIAXING JALY COMMODITIES CO LTD(', '656780 EDGAR EDMONDSON (HOUSEBRAND)']"
3580177P,I&J,Raw Prawns Extra Large Tail On,Summer Entertaining,16.5,16.5,0.0,500g,500g,$pecials,$pecials,True,['14729 SIMPLOT AUST P/L'],['14729 SIMPLOT AUST P/L']
181652P,Bega,Peanut Butter Crunchy,Pantry,3.2,3.2,0.0,200g,200g,,,True,"['26239 KRAFT FOODS LTD', '973987 BEGA CHEESE LIMITED']","['26239 KRAFT FOODS LTD', '973987 BEGA CHEESE LIMITED']"
3490030P,Heinz,No Added Sugar Spaghetti,Pantry,1.65,1.65,0.0,220g,220g,,,True,['22161 HJ HEINZ CO AUST LTD'],['22161 HJ HEINZ CO AUST LTD']
4499085P,Colgate,Plax Fresh Mint Mouth Wash,Health & Beauty,8.0,8.0,0.0,1L,1L,$pecials,$pecials,True,['51977 COLGATE PALMOLIVE P/L'],['51977 COLGATE PALMOLIVE P/L']
3763541P,Loacker,Gardena Hazelnut Wafer,Back to School,4.0,4.0,0.0,200g,200g,,,True,"[""966495 LEO'S IMPORT AND DISTRIBUTORS P/""]","[""966495 LEO'S IMPORT AND DISTRIBUTORS P/""]"
3468790P,Schweppes,Mexican Lime Signature Soft Drink Bottle 300mL,Summer Entertaining,6.5,6.0,0.5,4 pack,4 pack,,,True,['44059 ASAHI BEVERAGES PTY LTD'],['44059 ASAHI BEVERAGES PTY LTD']
2768299P,Mutti Sugo,Pasta Sauce Basil Onion,Pantry,4.0,4.0,0.0,400g,400g,,,True,"['145823 OVERSEAS SUPPLIER', '967750 MUTTI SPA']","['145823 OVERSEAS SUPPLIER', '967750 MUTTI SPA']"
2904692P,Nair,Sensitive Wax Strips Large,Health & Beauty,7.5,7.5,0.0,40 pack,40 pack,$pecials,$pecials,True,['7641 CHURCH & DWIGHT (AUST) P/L'],['7641 CHURCH & DWIGHT (AUST) P/L']
3780278P,Black Swan,Warming Spinach Mozzarella & Haloumi Dip,"Dairy, Eggs & Meals",3.5,3.5,0.0,180g,180g,$pecials,$pecials,True,['970642 BLACK SWAN FOODS'],['970642 BLACK SWAN FOODS']
6636132P,Go Natural,Nut Delight Chopped Bars,Back to School,4.05,4.05,0.0,175g,175g,$pecials,$pecials,True,"['479551 PHARM-A-CARE LABORATORIES P/L', '251712 GO NATURAL AUST']","['479551 PHARM-A-CARE LABORATORIES P/L', '251712 GO NATURAL AUST']"
4164972P,Coles,Passionfruit Pulp,Pantry,1.5,1.5,0.0,170g,170g,,,True,"['145823 OVERSEAS SUPPLIER', '975101 QINGDAO COUNTREE FOOD COLTD', '969291 QINGDAO COUNTREE FOOD CO LTD', '953191 AGROINDUSTRIAS AIB SA']","['145823 OVERSEAS SUPPLIER', '975101 QINGDAO COUNTREE FOOD COLTD', '969291 QINGDAO COUNTREE FOOD CO LTD', '953191 AGROINDUSTRIAS AIB SA']"
3298496P,Cinta,Prosecco DOC NV 750mL,Liquor,16.0,16.0,0.0,1 Each,1 Each,,,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
1744830P,Bega,Cream Cheese Spread Light,Back to School,3.8,3.8,0.0,250g,250g,,,True,"['26239 KRAFT FOODS LTD', '973987 BEGA CHEESE LIMITED']","['26239 KRAFT FOODS LTD', '973987 BEGA CHEESE LIMITED']"
5111880P,Vitasoy,Regular Soy Milk,"Dairy, Eggs & Meals",2.6,2.6,0.0,1L,1L,,,True,"['937273 NATIONAL FOODS AUSTRALIA P/L', '934369 NATIONAL FOODS MILK LTD NSW', '933187 NATIONAL FOODS MILK (QLD)', '666165 NATIONAL FOODS MILK LTD (VIC)']","['937273 NATIONAL FOODS AUSTRALIA P/L', '934369 NATIONAL FOODS MILK LTD NSW', '933187 NATIONAL FOODS MILK (QLD)', '666165 NATIONAL FOODS MILK LTD (VIC)']"
3571915P,Coles,Organic Natural Almonds,Pantry,7.0,7.0,0.0,200g,200g,,,True,['965928 SCALZO FOOD INDS (GROC) (HOUSEBR'],['965928 SCALZO FOOD INDS (GROC) (HOUSEBR']
3273597P,Mainland,Munchables Tasty Cheese & Rice Crackers 4 Pack,Back to School,4.0,4.0,0.0,96g,96g,$pecials,$pecials,True,['322385 FONTERRA BRANDS (AUST) P/L'],['322385 FONTERRA BRANDS (AUST) P/L']
3519518P,L'OR,Espresso Onyx Intensity 12 Coffee Capsules 20 Pack,Pantry,11.0,11.0,0.0,104g,104g,,,True,['633861 JACOBS DOUWE EGBERTS AU P/L'],['633861 JACOBS DOUWE EGBERTS AU P/L']
2918256P,Viva,Double Length With Bamboo Fibre Paper Towel,Household,4.0,4.0,0.0,2 pack,2 pack,$pecials,$pecials,True,['965991 KIMBERLY- CLARK AUST P/L (FAMILY'],['965991 KIMBERLY- CLARK AUST P/L (FAMILY']
8941884P,Dove,Beauty Soap Bar Regular 4 pack,Health & Beauty,6.8,6.8,0.0,400g,400g,$pecials,$pecials,True,['26867 UNILEVER A/ASIA HOME &PERSONAL C'],['26867 UNILEVER A/ASIA HOME &PERSONAL C']
2611639P,Rock Paper Scissors,Sauvignon Blanc 750mL,Liquor,5.0,5.0,0.0,1 Each,1 Each,$pecials,$pecials,True,['963979 MAX LIQUOR SUPPLIES'],['963979 MAX LIQUOR SUPPLIES']
3799811P,Coles,Raspberry Flavoured Fantasy Spread,Pantry,4.5,4.5,0.0,350g,350g,,,True,['963503 KRUGER ANZ P/L (HOUSEBRAND)'],['963503 KRUGER ANZ P/L (HOUSEBRAND)']
278255P,Zafarelli,Spaghetti No 4,Pantry,2.0,2.0,0.0,500g,500g,,,True,['68021 SAN REMO M'],['68021 SAN REMO M']
5457604P,Coles,Peach in Mango Flavoured Jelly,Back to School,2.2,2.2,0.0,500g,500g,,,True,"['940522 NOON INTL AUST P/L (HOUSEBRAND)', '952725 LEGEND GLOBE TRADING LTD', '145823 OVERSEAS SUPPLIER']","['940522 NOON INTL AUST P/L (HOUSEBRAND)', '952725 LEGEND GLOBE TRADING LTD', '145823 OVERSEAS SUPPLIER']"
3516189P,Wildly Good,Beetroot & Black Bean Burgers,"Dairy, Eggs & Meals",5.0,5.0,0.0,250g,250g,$pecials,$pecials,True,"['953944 SOULFRESH', '971667 SOULFRESH GROUP PTY LTD']","['953944 SOULFRESH', '971667 SOULFRESH GROUP PTY LTD']"
6105817P,Bertocchi,Authentic Boneless Leg Ham,Meat & Seafood,14.0,14.0,0.0,approx. 700g,approx. 700g,,,True,"['151572 BERTOCCHI SMALLGOODS P/L', '965010 BERTOCCHI SMALLGOODS P/L (MEAT)']","['151572 BERTOCCHI SMALLGOODS P/L', '965010 BERTOCCHI SMALLGOODS P/L (MEAT)']"
3734055P,Vicks,Vapodrop Original Menthol Lozenges,Health & Beauty,6.8,6.8,0.0,42 pack,42 pack,,,True,['422720 PROCTER & GAMBLE AUST P/L'],['422720 PROCTER & GAMBLE AUST P/L']
